TrackStatKey,TrackKey,YT_Views,SC_Plays,SP_Streams,SP_Listeners,SP_Saves,APL_Plays,DateKey
337,11,67,35,104,24,7,3,20190702
338,1,143,50,101,25,5,2,20190702
339,16,162,165,374,106,17,33,20190702
340,4,265,175,496,179,21,167,20190702
341,15,149,119,443,155,22,48,20190702
342,26,353,129,954,254,64,238,20190702
343,24,117,116,221,61,11,12,20190702
344,2,115,71,306,72,13,12,20190702
345,5,272,610,NULL,NULL,NULL,NULL,20190802
346,25,305,637,201,68,16,19,20190802
347,13,528,484,NULL,NULL,NULL,NULL,20190802
348,28,305,663,NULL,NULL,NULL,NULL,20190802
349,17,1200,866,495,245,34,1695,20190802
350,10,196,245,NULL,NULL,NULL,NULL,20190802
351,22,243,15,272,53,11,10,20190802
352,19,2800,266,477,104,22,55,20190802
353,29,127,24,NULL,NULL,NULL,NULL,20190802
354,6,136,31,168,32,12,2,20190802
355,7,396,NULL,NULL,NULL,NULL,NULL,20190802
356,3,402,77,742,188,26,43,20190802
357,20,157,26,317,58,9,9,20190802
358,21,215,37,289,35,13,1,20190802
359,8,246,31,314,46,11,32,20190802
360,27,98,71,127,37,6,11,20190802
361,9,117,54,124,46,11,10,20190802
362,14,109,49,146,45,9,1,20190802
363,18,109,54,155,69,9,16,20190802
364,11,129,37,120,26,7,3,20190802
365,1,147,50,132,28,6,2,20190802
366,16,248,166,429,138,19,33,20190802
367,4,308,176,604,253,28,170,20190802
368,15,156,120,523,207,30,50,20190802
369,26,398,135,1100,318,71,262,20190802
370,24,173,117,263,76,14,12,20190802
371,2,119,72,328,79,16,12,20190802
372,5,289,611,NULL,NULL,NULL,NULL,20190902
373,25,307,639,225,88,17,18,20190902
374,13,530,487,NULL,NULL,NULL,NULL,20190902
375,28,400,663,NULL,NULL,NULL,NULL,20190902
376,17,1200,881,567,292,38,1723,20190902
377,10,196,245,NULL,NULL,NULL,NULL,20190902
378,22,312,15,285,61,11,11,20190902
379,19,3200,281,528,118,23,43,20190902
380,29,135,34,6,4,1,0,20190902
381,23,153,70,1100,871,53,491,20190902
382,6,138,31,186,39,13,2,20190902
383,7,397,NULL,NULL,NULL,NULL,NULL,20190902
384,3,475,78,776,198,29,30,20190902
385,20,158,27,329,67,9,8,20190902
386,21,223,37,301,45,13,3,20190902
387,8,282,33,327,55,11,30,20190902
388,27,113,71,137,42,6,10,20190902
389,9,143,54,136,54,11,9,20190902
390,14,137,49,157,52,9,1,20190902
391,18,111,55,175,82,9,17,20190902
392,11,172,38,125,27,7,3,20190902
393,1,156,51,143,38,6,2,20190902
394,16,316,166,469,172,20,34,20190902
395,4,331,177,687,324,30,140,20190902
396,15,164,121,582,256,32,54,20190902
397,26,420,135,1200,382,76,260,20190902
398,24,202,117,288,97,14,14,20190902
399,2,121,72,357,95,16,11,20190902
400,5,296,611,NULL,NULL,NULL,NULL,20191002
401,25,309,642,257,108,16,18,20191002
402,13,535,490,NULL,NULL,NULL,NULL,20191002
403,28,407,667,NULL,NULL,NULL,NULL,20191002
404,17,1300,893,705,349,43,1819,20191002
405,10,196,245,NULL,NULL,NULL,NULL,20191002
406,22,329,16,298,71,12,11,20191002
407,19,3500,308,575,133,25,49,20191002
408,29,152,39,23,16,3,1,20191002
409,23,288,146,3000,2100,130,1115,20191002
410,6,146,31,207,51,14,2,20191002
411,7,399,NULL,NULL,NULL,NULL,NULL,20191002
412,3,517,78,811,207,32,32,20191002
413,20,166,27,351,79,11,8,20191002
414,21,260,38,318,56,14,3,20191002
415,8,314,33,346,65,13,30,20191002
416,27,114,71,158,54,7,10,20191002
417,9,159,60,158,68,11,10,20191002
418,14,151,49,183,66,10,1,20191002
419,18,117,55,204,101,11,18,20191002
420,11,196,38,155,38,10,3,20191002
421,1,161,51,161,49,7,2,20191002
422,16,356,166,530,215,24,38,20191002
423,4,352,178,835,431,38,142,20191002
424,15,167,121,706,328,37,62,20191002
425,26,428,143,1300,450,82,275,20191002
426,24,216,117,330,125,14,15,20191002
427,2,121,72,398,118,16,12,20191002
428,5,363,612,NULL,NULL,NULL,NULL,20191102
429,25,314,644,284,127,24,19,20191102
430,13,539,493,NULL,NULL,NULL,NULL,20191102
431,28,474,668,NULL,NULL,NULL,NULL,20191102
432,17,1300,901,786,403,55,1953,20191102
433,10,196,246,NULL,NULL,NULL,NULL,20191102
434,22,409,16,309,74,15,17,20191102
435,19,3700,321,619,148,33,53,20191102
436,29,158,40,46,29,10,1,20191102
437,23,514,160,4500,3100,197,1359,20191102
438,6,149,32,239,64,20,2,20191102
439,7,401,NULL,NULL,NULL,NULL,NULL,20191102
440,3,590,79,838,213,36,35,20191102
441,20,171,29,386,101,22,9,20191102
442,21,293,40,339,67,21,3,20191102
443,8,376,34,362,73,17,30,20191102
444,27,118,71,183,70,15,12,20191102
445,9,191,73,180,82,18,10,20191102
446,14,200,50,202,77,19,1,20191102
447,18,122,57,245,129,17,22,20191102
448,11,199,39,189,52,18,3,20191102
449,1,170,51,181,58,14,2,20191102
450,16,447,166,592,253,35,40,20191102
451,4,475,178,940,508,50,143,20191102
452,15,171,121,789,378,45,66,20191102
453,26,466,144,1400,510,93,285,20191102
454,24,251,120,378,158,20,15,20191102
455,2,123,72,419,133,25,12,20191102
456,5,439,613,NULL,NULL,NULL,NULL,20191202
457,25,331,645,319,159,24,19,20191202
458,13,540,497,NULL,NULL,NULL,NULL,20191202
459,28,519,672,NULL,NULL,NULL,NULL,20191202
460,17,1400,908,882,468,59,2049,20191202
461,10,196,246,NULL,NULL,NULL,NULL,20191202
462,22,475,16,315,77,15,17,20191202
463,19,3800,326,664,169,34,54,20191202
464,29,158,42,73,43,10,1,20191202
465,23,657,179,5500,3800,221,1587,20191202
466,6,154,34,291,80,20,2,20191202
467,7,401,NULL,NULL,NULL,NULL,NULL,20191202
468,3,732,79,868,217,37,35,20191202
469,20,171,29,412,116,25,9,20191202
470,21,302,42,371,83,22,3,20191202
471,8,440,35,372,75,17,30,20191202
472,27,119,73,204,86,15,12,20191202
473,9,192,84,200,95,18,10,20191202
474,14,221,52,231,97,19,3,20191202
475,18,122,58,299,161,18,23,20191202
476,11,199,39,206,60,18,3,20191202
477,1,180,52,205,70,14,2,20191202
478,16,545,167,638,281,34,43,20191202
479,4,512,180,1000,557,54,144,20191202
480,15,172,121,862,424,46,68,20191202
481,26,481,146,1500,543,98,319,20191202
482,24,325,121,414,173,20,15,20191202
483,2,124,72,441,145,25,13,20191202
484,5,477,615,NULL,NULL,NULL,NULL,20200102
485,25,339,648,382,171,29,19,20200102
486,13,543,498,NULL,NULL,NULL,NULL,20200102
487,28,526,674,NULL,NULL,NULL,NULL,20200102
488,17,1500,913,1300,721,94,2183,20200102
489,10,196,247,NULL,NULL,NULL,NULL,20200102
490,22,563,17,349,80,18,18,20200102
491,19,4000,354,777,202,40,58,20200102
492,29,176,69,108,54,13,1,20200102
493,23,794,231,7900,5400,338,1771,20200102
494,6,157,48,382,102,25,2,20200102
495,7,402,NULL,NULL,NULL,NULL,NULL,20200102
496,3,816,81,933,226,40,37,20200102
497,20,177,30,437,126,29,10,20200102
498,21,325,43,415,94,27,4,20200102
499,8,566,36,424,79,20,30,20200102
500,27,123,74,245,103,19,12,20200102
501,9,197,88,227,103,19,10,20200102
502,14,242,65,278,113,25,4,20200102
503,18,124,59,377,194,27,23,20200102
504,11,203,40,256,74,22,3,20200102
505,1,195,65,235,80,16,2,20200102
506,16,664,168,736,314,38,44,20200102
507,4,570,181,1300,702,81,148,20200102
508,15,174,124,1200,604,64,71,20200102
509,26,505,151,1700,598,112,351,20200102
510,24,385,124,478,191,25,15,20200102
511,2,125,73,487,159,30,13,20200102
512,5,494,615,NULL,NULL,NULL,NULL,20200202
513,25,343,649,406,181,30,19,20200202
514,13,544,498,NULL,NULL,NULL,NULL,20200202
515,28,526,674,NULL,NULL,NULL,NULL,20200202
516,17,1600,914,1500,823,101,2247,20200202
517,10,198,247,NULL,NULL,NULL,NULL,20200202
518,22,604,17,355,80,18,18,20200202
519,19,4000,356,827,216,40,79,20200202
520,29,188,69,125,61,13,3,20200202
521,23,864,245,8900,6000,391,1824,20200202
522,12,43,1,431,75,15,15,20200202
523,6,159,48,414,111,25,2,20200202
524,7,NULL,NULL,NULL,NULL,NULL,NULL,20200202
525,3,941,81,974,233,40,37,20200202
526,20,177,30,450,132,31,10,20200202
527,21,331,43,440,101,27,4,20200202
528,8,640,37,453,79,20,30,20200202
529,27,124,74,260,110,20,12,20200202
530,9,200,88,238,107,22,10,20200202
531,14,242,65,315,124,26,4,20200202
532,18,124,60,433,217,31,23,20200202
533,11,221,40,287,78,23,3,20200202
534,1,199,65,252,84,17,2,20200202
535,16,764,168,788,331,40,45,20200202
536,4,693,181,1400,782,88,148,20200202
537,15,176,124,1300,671,72,72,20200202
538,26,532,152,1700,639,111,358,20200202
539,24,446,124,520,201,26,15,20200202
540,2,126,73,519,166,31,13,20200202
